IPERC - Library ID,Title,Cantidad Referencia,Level,IPERC - L2,IPERC- L1,Descrpción,IPERC - L2 (No eliminar),IPERC- L1 (No eliminar),IPERC - Matrix (Peligros),IPERC - Matrix 4 (Riesgos),IPERC - Matrix (Consecuencias),IPERC - Matrix (Probabilidad),IPERC - Matrix (Nivel de Riesgo),IPERC - Matrix (Consecuencias) copy,IPERC - Matrix (Probabilidad) copy
Deterioro de la audición causada por ruido,Deterioro de la audición causada por ruido,,L3,Factor Físico,Peligros,,,,,,,,,,
Enfermedades causadas por aire comprimido o descomprimido,Enfermedades causadas por aire comprimido o descomprimido,,L3,Factor Físico,Peligros,,,,,,,,,,
Material Explosivo,Material Explosivo,,L3,Factor Físico,Peligros,,,,,,,,,,
Enfermedades causadas por exposición a temperaturas extremas,Enfermedades causadas por exposición a temperaturas extremas,,L3,Factor Físico,Peligros,,,,"Revoque Proyectado con Bomba Mezcladora - 6 Durante las tareas anteriores,Revoque Proyectado con Bomba Mezcladora - 6 Durante las tareas anteriores,Construcción de Columnas de Hormigón Armado - 5 Durante las tareas anteriores,Construcción de Columnas de Hormigón Armado - 5 Durante las tareas anteriores,Construcción de Losas con Viguetas Pretensadas - 6 Durante las tareas anteriores,Construcción de Losas con Viguetas Pretensadas - 6 Durante las tareas anteriores,Construcción de Muro de Mampostería - 8 Durante las tareas anteriores,Construcción de Muro de Mampostería - 8 Durante las tareas anteriores,Relleno Compactación de Bases - 4 Durante las tareas anteriores,Relleno Compactación de Bases - 4 Durante las tareas anteriores,""Excavación de Subsuelo mayor a 1,50 m - 7 Durante todas las tareas de este proceso (Radiación UV)"",Acnlajes y Submuración de Subsuelo - 9 Durante todas las tareas de este proceso (Radiación UV),Construcción de Fundaciones- Bases aisladas - 7 Durante todas las tareas de este proceso (Radiación UV),Construcción de losas de subsuelo - 6 Durante todas las tareas de este proceso (Radiación UV),Construcción de losas en Altura - 8 Durante todas las tareas de este proceso (Radiación UV),Construcción de Columnas - 7 Durante todas las tareas de este proceso (Radiación UV), - 7 Durante todas las tareas de este proceso (Radiación UV)",,,,,,
Líquido Combustible,Líquido Combustible,,L3,Factor Físico,Peligros,,,,,,,,,,
Agentes físicos en el trabajo no mencionados en los puntos   anteriores ,Agentes físicos en el trabajo no mencionados en los puntos   anteriores ,,L3,Factor Físico,Peligros,,,,,,,,,,
Cambio Brusco de Temperatura,Cambio Brusco de Temperatura,,L3,Factor Físico,Peligros,,,,,,,,,,
Líquido Inflamable,Líquido Inflamable,,L3,Factor Físico,Peligros,,,,,,,,,,
Gas Combustible,Gas Combustible,,L3,Factor Físico,Peligros,,,,,,,,,,
Superficie a Temperatura Extrema,Superficie a Temperatura Extrema,,L3,Factor Físico,Peligros,,,,,,,,,,
Pozo,Pozo,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,"Excavación menor a 1.50 m - 1 Remoción de Tierra,Excavación menor a 1.50 m - 2 Perfilado de excavación,Excavación menor a 1.50 m - 2 Perfilado de excavación,Acnlajes y Submuración de Subsuelo - 5 Izaje y colocación de Estructuras en troneras,""Excavación de Subsuelo mayor a 1,50 m - 1 Depresión de Napas Freáticas (Todas las etapas)"",""Excavación de Subsuelo mayor a 1,50 m - 4 División de troneras"",""Excavación de Subsuelo mayor a 1,50 m - 5 Perfilado de Submurales"",""Excavación de Subsuelo mayor a 1,50 m - 6 Entibado/Tablestacado "",""Excavación de Subsuelo mayor a 1,50 m - 8 Durante todas las tareas de este proceso (Derrumbe)"",Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Acnlajes y Submuración de Subsuelo - 10 Durante todas las tareas de este proceso (Derrumbe),Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de Fundaciones- Bases aisladas - 8 Durante todas las tareas de este proceso (Derrumbe),Construcción de losas de subsuelo - 2 Perfilado de Terreno (Espesor de losa),Construcción de losas de subsuelo - 2 Perfilado de Terreno (Espesor de losa)",,,,,,
Escalera,Escalera,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,Acnlajes y Submuración de Subsuelo - 5 Izaje y colocación de Estructuras en troneras,,,,,,
Trabajo al Mismo Nivel,Trabajo al Mismo Nivel,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,,,,,,,
Objeto que Obstruye el Tránsito,Objeto que Obstruye el Tránsito,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,,,,,,,
Trabajo en Altura,Trabajo en Altura,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,"Construcción de Losas con Viguetas Pretensadas - 3 Disposición de los materiales en losa,Construcción de losas en Altura - 2 Encofrado de losa,Construcción de losas en Altura - 4 Manipulación e Izaje de varillas de Hierro,Construcción de losas en Altura - 6 Cierres y terminaciones de encofrados de losa, - 3 Instalación de Tirantes de Defensas, - 5 Colocación de Fenólicos",,,,,,
Carga Suspendida,Carga Suspendida,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,Excavación menor a 1.50 m - 1 Remoción de Tierra,,,,,,
Rampa,Rampa,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,,,,,,,
Carga en altura,Carga en altura,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,,,,,,,
Objeto Punzantes,Objeto Punzantes,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,,,,,,,
Carga en Movimiento ,Carga en Movimiento ,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,Construcción de Losas con Viguetas Pretensadas - 2 Izaje de Viguetas pretensadas y material aligerante,,,,,,
Zanja,Zanja,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,,,,,,,
Espacio Confinado,Espacio Confinado,,L3,Factor Locativo (Sector de Trabajo),Peligros,,,,,,,,,,
Herramienta,Herramienta,,L3,Factor Mecánico,Peligros,,,,"Revoque Proyectado con Bomba Mezcladora - 2 Traslado de materiales,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Muro de Mampostería - 2 Traslado de materiales,Instalación Cloacal y Pluvial - 5 Corte de cañería Termofusión,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 3 Terminaciones de Puntos,Construcción de losas en Altura - 6 Cierres y terminaciones de encofrados de losa, - 3 Traslado e Izaje de Tirantes de Defensas",,,,,,
Carga en movimiento,Carga en movimiento,,L3,Factor Mecánico,Peligros,,,,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros (columna armada),,,,,,
